weekdate,simple_countries,cumulative_prob
2020-03-15,albania,0
2020-03-22,albania,0
2020-03-29,albania,0
2020-04-05,albania,0
2020-04-12,albania,0
2020-04-19,albania,0
2020-04-26,albania,0.294455544455544
2020-05-03,albania,0.485264735264735
2020-05-10,albania,0.61038961038961
2020-05-17,albania,0.70004995004995
2020-05-24,albania,0.771978021978022
2020-05-31,albania,0.835914085914086
2020-06-07,albania,0.873876123876124
2020-06-14,albania,0.901598401598402
2020-06-21,albania,0.923076923076923
2020-06-28,albania,0.944805194805195
2020-07-05,albania,0.958291708291708
2020-07-12,albania,0.966783216783217
2020-07-19,albania,0.974025974025974
2020-07-26,albania,0.98001998001998
2020-08-02,albania,0.985264735264735
2020-08-09,albania,0.989510489510489
2020-08-16,albania,0.992507492507493
2020-08-23,albania,0.993756243756244
2020-08-30,albania,0.995254745254745
2020-09-06,albania,0.995254745254745
2020-09-13,albania,0.997502497502498
2020-09-20,albania,0.998751248751249
2020-09-27,albania,0.999000999000999
2020-10-04,albania,0.999250749250749
2020-10-11,albania,1
2020-10-18,albania,1
2020-10-25,albania,1
2020-11-01,albania,1
2020-03-15,andorra,0
2020-03-22,andorra,0
2020-03-29,andorra,0.635364635364635
2020-04-05,andorra,0.635364635364635
2020-04-12,andorra,0.635364635364635
2020-04-19,andorra,0.635364635364635
2020-04-26,andorra,0.635364635364635
2020-05-03,andorra,0.740759240759241
2020-05-10,andorra,0.822427572427572
2020-05-17,andorra,0.873876123876124
2020-05-24,andorra,0.915834165834166
2020-05-31,andorra,0.94030969030969
2020-06-07,andorra,0.956793206793207
2020-06-14,andorra,0.970529470529471
2020-06-21,andorra,0.977522477522477
2020-06-28,andorra,0.983016983016983
2020-07-05,andorra,0.987012987012987
2020-07-12,andorra,0.990759240759241
2020-07-19,andorra,0.992507492507493
2020-07-26,andorra,0.993756243756244
2020-08-02,andorra,0.995004995004995
2020-08-09,andorra,0.996253746253746
2020-08-16,andorra,0.996503496503496
2020-08-23,andorra,0.997502497502498
2020-08-30,andorra,0.998251748251748
2020-09-06,andorra,0.999250749250749
2020-09-13,andorra,0.999250749250749
2020-09-20,andorra,0.999250749250749
2020-09-27,andorra,0.99975024975025
2020-10-04,andorra,1
2020-10-11,andorra,1
2020-10-18,andorra,1
2020-10-25,andorra,1
2020-11-01,andorra,1
2020-03-15,austria,0
2020-03-22,austria,0
2020-03-29,austria,1
2020-04-05,austria,1
2020-04-12,austria,1
2020-04-19,austria,1
2020-04-26,austria,1
2020-05-03,austria,1
2020-05-10,austria,1
2020-05-17,austria,1
2020-05-24,austria,1
2020-05-31,austria,1
2020-06-07,austria,1
2020-06-14,austria,1
2020-06-21,austria,1
2020-06-28,austria,1
2020-07-05,austria,1
2020-07-12,austria,1
2020-07-19,austria,1
2020-07-26,austria,1
2020-08-02,austria,1
2020-08-09,austria,1
2020-08-16,austria,1
2020-08-23,austria,1
2020-08-30,austria,1
2020-09-06,austria,1
2020-09-13,austria,1
2020-09-20,austria,1
2020-09-27,austria,1
2020-10-04,austria,1
2020-10-11,austria,1
2020-10-18,austria,1
2020-10-25,austria,1
2020-11-01,austria,1
2020-03-15,belarus,0
2020-03-22,belarus,0
2020-03-29,belarus,0
2020-04-05,belarus,0
2020-04-12,belarus,0
2020-04-19,belarus,0
2020-04-26,belarus,0.395854145854146
2020-05-03,belarus,0.437562437562438
2020-05-10,belarus,0.494755244755245
2020-05-17,belarus,0.570929070929071
2020-05-24,belarus,0.645354645354645
2020-05-31,belarus,0.705044955044955
2020-06-07,belarus,0.771978021978022
2020-06-14,belarus,0.821178821178821
2020-06-21,belarus,0.873376623376623
